	Characteristics[organism]	Characteristics[cultivar]	Characteristics[age]	Characteristics[developmental stage]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[growth condition]	Characteristics[stimulus]	Characteristics[time]	Unit[time unit]	Genotype	Effector
781_1	Solanum lycopersicum	moneymaker	3	hairy root culture	OE	root	liquid culture	estradiol	24	week	1	1
749_4	Solanum lycopersicum	moneymaker	3	hairy root culture	OE	root	liquid culture	estradiol	24	week	1	2
749_3	Solanum lycopersicum	moneymaker	3	hairy root culture	OE	root	liquid culture	estradiol	24	week	1	2
707_2	Solanum lycopersicum	moneymaker	3	hairy root culture	OE	root	liquid culture	estradiol	24	week	1	3
707_1	Solanum lycopersicum	moneymaker	3	hairy root culture	OE	root	liquid culture	estradiol	24	week	1	3
707_3	Solanum lycopersicum	moneymaker	3	hairy root culture	OE	root	liquid culture	estradiol	24	week	1	3
GFP_3	Solanum lycopersicum	moneymaker	3	hairy root culture	wild type genotype	root	liquid culture	estradiol	24	week	0	0
GFP_4	Solanum lycopersicum	moneymaker	3	hairy root culture	wild type genotype	root	liquid culture	estradiol	24	week	0	0
GFP_1	Solanum lycopersicum	moneymaker	3	hairy root culture	wild type genotype	root	liquid culture	estradiol	24	week	0	0
707_4	Solanum lycopersicum	moneymaker	3	hairy root culture	OE	root	liquid culture	estradiol	24	week	1	3
GFP_2	Solanum lycopersicum	moneymaker	3	hairy root culture	wild type genotype	root	liquid culture	estradiol	24	week	0	0
749_1	Solanum lycopersicum	moneymaker	3	hairy root culture	OE	root	liquid culture	estradiol	24	week	1	2
781_2	Solanum lycopersicum	moneymaker	3	hairy root culture	OE	root	liquid culture	estradiol	24	week	1	1
781_3	Solanum lycopersicum	moneymaker	3	hairy root culture	OE	root	liquid culture	estradiol	24	week	1	1
781_4	Solanum lycopersicum	moneymaker	3	hairy root culture	OE	root	liquid culture	estradiol	24	week	1	1
749_2	Solanum lycopersicum	moneymaker	3	hairy root culture	OE	root	liquid culture	estradiol	24	week	1	2